,words,nots
12311,quam,noun
12312,aliam,comparative
12313,spectat,plural
12314,animōs,singular
12315,dīvīsa,comparative
12316,dictum est,subjunctive
12317,sōlem,nominative
12318,ad,pronoun
12319,occāsum,plural
12320,quibus,demonstrative
12321,sōlis,neuter
12322,trēs,ablative
12323,trēs,ablative
12324,cotīdiānīs,superlative
12325,linguā,plural
12326,omnēs,neuter
12327,ūna,neuter
12328,fortissimī,feminine
12329,appellantur,active
12330,eam,1st person
12331,Belgae,accusative
12332,dīvīsa,superlative
12333,Galliae,neuter
12334,ea,indefinite
12335,trēs,genitive
12336,cum,adverb
12337,pars,neuter
12338,eōs,singular
12339,hōrum,possessive
12340,pars,ablative
12341,quae,demonstrative
12342,pertinet,plural
12343,gerunt,1st person
12344,initium,feminine
12345,suīs,accusative
12346,dīvidit,plural
12347,ab,adjective
12348,ad,pronoun
12349,spectant,future perfect
12350,occāsum,feminine
12351,sōlem,plural
12352,cum,adverb
12353,oriuntur,future perfect
12354,spectat,passive
12355,partēs,ablative
12356,ūnam,plural
12357,virtūte,plural
12358,ad,conjunction
12359,flūminis,plural
12360,flūminis,plural
12361,pertinet,perfect
12362,absunt,subjunctive
12363,spectant,passive
12364,pertinet,1st person
12365,cum,adjective
12366,appellantur,2nd person
12367,mercātōrēs,neuter
12368,bellum,genitive
12369,gerunt,1st person
12370,dictum est,2nd person
12371,flūmen,masculine
12372,flūmen,masculine
12373,-que,adjective
12374,sunt,singular
12375,minimē,adjective
12376,Belgae,accusative
12377,quibus,singular
12378,orientem,future
12379,cotīdiānīs,singular
12380,Galliae,neuter
12381,ipsī,reflexive
12382,prōvinciae,accusative
12383,omnēs,comparative
12384,occāsum,plural
12385,appellantur,1st person
12386,Belgīs,genitive
12387,omnis,accusative
12388,sē,adjective
12389,quī,reflexive
12390,sōlis,neuter
12391,longissimē,positive
12392,ad,conjunction
12393,sunt,singular
12394,partēs,ablative
12395,in,conjunction
12396,ā,preposition w/ acc.
12397,sōlem,dative
12398,ā,adverb
12399,suīs,superlative
12400,bellum,masculine
12401,flūmen,feminine
12402,flūmen,genitive
12403,Gallia,plural
12404,dē,pronoun
12405,gerunt,semi-deponent
12406,gerunt,semi-deponent
12407,ūna,comparative
12408,eōs,neuter
12409,omnēs,ablative
12410,pertinent,passive
12411,contendunt,future perfect
12412,sunt,singular
12413,occāsum,plural
12414,obtinēre,subjunctive
12415,fortissimī,feminine
12416,prohibent,singular
12417,mercātōrēs,ablative
12418,linguā,accusative
12419,appellantur,perfect
12420,Belgīs,singular
12421,capit,future perfect
12422,prōvinciae,masculine
12423,hī,possessive
12424,oriuntur,pluperfect
12425,fortissimī,feminine
12426,in,conjunction
12427,cotīdiānīs,singular
12428,omnium,nominative
12429,quā,noun
12430,eōs,nominative
12431,Gallia,dative
12432,flūminis,masculine
12433,hōrum,singular
12434,hōrum,singular
12435,prōvinciae,accusative
12436,Gallia,plural
12437,mercātōrēs,dative
12438,cum,adverb
12439,sunt,future perfect
12440,incolunt,deponent
12441,proeliīs,singular
12442,Galliae,ablative
12443,Belgae,accusative
12444,proximī,comparative
12445,minimē,comparative
12446,eam,dative
12447,dīvidit,deponent
12448,oriuntur,not deponent
12449,ad,pronoun
12450,prohibent,imperative
12451,linguā,plural
12452,sōlem,feminine
12453,tertiam,comparative
12454,dīvidit,semi-deponent
12455,est,2nd person
12456,lēgibus,accusative
12457,Germānīs,singular
12458,eōrum,feminine
12459,Galliae,nominative
12460,omnis,accusative
12461,partēs,neuter
12462,spectant,passive
12463,omnis,accusative
12464,fortissimī,feminine
12465,incolunt,deponent
12466,dictum est,active
12467,dīvīsa,ablative
12468,sōlem,plural
12469,ipsī,genitive
12470,spectat,subjunctive
12471,causā,genitive
12472,quī,reflexive
12473,Celtae,ablative
12474,Hispāniam,plural
12475,etiam,pronoun
12476,sunt,future perfect
12477,contendunt,pluperfect
12478,pertinet,deponent
12479,lēgibus,genitive
12480,obtinēre,1st person
12481,occāsum,plural
12482,tertiam,comparative
12483,partem,ablative
12484,quī,reflexive
12485,quārum,dative
12486,incolunt,imperative
12487,spectant,deponent
12488,atque,adjective
12489,ad,pronoun
12490,ūna,masculine
12491,causā,plural
12492,Belgārum,singular
12493,Celtae,ablative
12494,fortissimī,feminine
12495,Galliae,plural
12496,fortissimī,feminine
12497,aliam,comparative
12498,longissimē,positive
12499,Gallia,genitive
12500,omnium,superlative
12501,atque,pronoun
12502,Belgae,ablative
12503,hī,feminine
12504,ūna,comparative
12505,ūnam,ordinal
12506,quā,masculine
12507,est,future perfect
12508,inter,pronoun
12509,capit,2nd person
12510,quam,plural
12511,virtūte,neuter
12512,trāns,adverb
12513,continenter,passive
12514,ūna,comparative
12515,spectat,plural
12516,flūmen,masculine
12517,flūmen,masculine
12518,flūmen,ablative
12519,sōlis,feminine
12520,eōs,1st person
12521,omnium,accusative
12522,flūminis,masculine
12523,ā,pronoun
12524,reliquōs,superlative
12525,dīvīsa,semi-deponent
12526,cum,pronoun
12527,causā,genitive
12528,trēs,neuter
12529,causā,plural
12530,causā,neuter
12531,hōrum,accusative
12532,ea,1st person
12533,Gallia,dative
12534,etiam,pronoun
12535,oriuntur,imperative
12536,proeliīs,masculine
12537,continētur,imperative
12538,spectant,passive
12539,reliquōs,neuter
12540,flūmine,accusative
12541,appellantur,indicative
12542,omnēs,singular
12543,quam,plural
12544,quī,demonstrative
12545,partem,masculine
12546,causā,genitive
12547,eōs,feminine
12548,inter,preposition w/ abl.
12549,dē,pronoun
12550,dīvidit,imperfect
12551,ea,relative
12552,dīvīsa,present
12553,dīvīsa,present
12554,-que,pronoun
12555,mercātōrēs,ablative
12556,minimē,comparative
12557,quibus,accusative
12558,eam,plural
12559,sunt,future perfect
12560,eōs,singular
12561,orientem,gerund
12562,quibus,noun
12563,sōlis,plural
12564,prohibent,passive
12565,ūna,demonstrative
12566,flūminis,masculine
12567,ūna,ordinal
12568,linguā,masculine
12569,bellum,dative
12570,tertiam,plural
12571,animōs,singular
12572,flūmine,dative
12573,capit,subjunctive
12574,partem,dative
12575,-que,pronoun
12576,eōs,feminine
12577,sōlis,accusative
12578,pertinet,plural
12579,omnium,ablative
12580,flūmen,genitive
12581,Gallia,masculine
12582,occāsum,plural
12583,dīvīsa,ablative
12584,ūna,demonstrative
12585,Germānīs,singular
12586,proximī,feminine
12587,capit,imperative
12588,Belgīs,feminine
12589,gerunt,singular
12590,trāns,preposition w/ abl.
12591,continenter,passive
12592,aliam,superlative
12593,dīvidit,subjunctive
12594,trāns,pronoun
12595,prohibent,semi-deponent
12596,trēs,singular
12597,dīvīsa,comparative
12598,oriuntur,future perfect
12599,oriuntur,future perfect
12600,incolunt,2nd person
12601,virtūte,masculine
12602,continenter,comparative
12603,continētur,deponent
12604,omnium,dative
12605,omnium,dative
12606,proximī,feminine
12607,ipsī,genitive
12608,continenter,perfect
12609,sōlis,feminine
12610,minimē,positive
12611,tertiam,comparative
12612,Belgae,ablative
12613,partem,nominative
12614,spectant,imperative
12615,linguā,plural
12616,ūnam,superlative
12617,Belgārum,ablative
12618,incolunt,passive
12619,omnēs,neuter
12620,eōrum,reflexive
12621,proximī,positive
12622,Gallia,plural
12623,hōrum,feminine
12624,ūnam,demonstrative
12625,eōs,dative
12626,eam,interrogative
12627,flūminis,plural
12628,continētur,deponent
12629,continētur,plural
12630,ipsī,relative
12631,prōvinciae,ablative
12632,reliquōs,singular
12633,Hispāniam,masculine
12634,Galliae,plural
12635,dictum est,feminine
12636,initium,dative
12637,quae,dative
12638,virtūte,plural
12639,minimē,comparative
12640,virtūte,neuter
12641,oriuntur,2nd person
12642,minimē,adjective
12643,suīs,2nd person
12644,Belgārum,neuter
12645,prohibent,perfect
12646,sōlem,plural
12647,suīs,demonstrative
12648,omnis,ablative
12649,Germānīs,singular
12650,trēs,genitive
12651,pertinent,subjunctive
12652,suīs,2nd person
12653,gerunt,perfect
12654,sē,demonstrative
12655,eōrum,dative
12656,quae,noun
12657,ipsōrum,reflexive
12658,linguā,plural
12659,linguā,plural
12660,sunt,2nd person
12661,capit,semi-deponent
12662,ipsī,reflexive
12663,sōlis,ablative
12664,spectat,subjunctive
12665,bellum,dative
12666,mercātōrēs,ablative
12667,est,imperative
12668,aliam,demonstrative
12669,eōrum,1st person
12670,proximī,ablative
12671,Celtae,accusative
12672,ad,conjunction
12673,etiam,pronoun
12674,linguā,nominative
12675,eōs,singular
12676,quā,demonstrative
12677,flūmine,dative
12678,ab,noun
12679,spectant,subjunctive
12680,spectat,imperative
12681,incolunt,perfect
12682,flūmen,masculine
12683,incolunt,singular
12684,gerunt,subjunctive
12685,gerunt,subjunctive
12686,ūnam,neuter
12687,flūminis,masculine
12688,obtinēre,gerund
12689,appellantur,active
12690,trēs,singular
12691,proeliīs,genitive
12692,quibus,accusative
12693,pertinet,plural
12694,etiam,pronoun
12695,in,conjunction
12696,virtūte,genitive
12697,flūminis,plural
12698,Celtae,accusative
12699,Galliae,accusative
12700,suīs,singular
12701,oriuntur,singular
12702,continētur,active
12703,causā,dative
12704,flūmine,masculine
12705,ipsī,adverb
12706,Belgīs,feminine
12707,Belgīs,feminine
12708,dē,pronoun
12709,Galliae,neuter
12710,tertiam,genitive
12711,eōs,2nd person
12712,fortissimī,feminine
12713,lēgibus,singular
12714,prōvinciae,accusative
12715,reliquōs,ablative
12716,fortissimī,feminine
12717,orientem,neuter
12718,hī,interrogative
12719,proximī,comparative
12720,Germānīs,singular
12721,Germānīs,singular
12722,Germānīs,singular
12723,Germānīs,accusative
12724,quī,demonstrative
12725,hōrum,possessive
12726,Hispāniam,dative
12727,Celtae,feminine
12728,mercātōrēs,neuter
12729,dē,preposition w/ acc.
12730,spectant,future perfect
12731,trāns,preposition w/ abl.
12732,Belgae,accusative
12733,pars,masculine
12734,-que,adjective
12735,flūmine,accusative
12736,proeliīs,singular
12737,dictum est,imperfect
12738,dīvidit,imperative
12739,Celtae,accusative
12740,sōlis,plural
12741,partēs,genitive
12742,dīvīsa,genitive
12743,orientem,gerund
12744,trāns,conjunction
12745,etiam,pronoun
12746,montēs,ablative
12747,ā,preposition w/ acc.
12748,omnium,singular
12749,initium,plural
12750,aliam,nominative
12751,flūmine,genitive
12752,reliquōs,comparative
12753,prōvinciae,accusative
12754,Gallia,neuter
12755,Celtae,ablative
12756,bellum,genitive
12757,occāsum,genitive
12758,dīvidit,plural
12759,tertiam,plural
12760,prohibent,imperative
12761,fīnibus,singular
12762,partem,masculine
12763,quod,masculine
12764,Gallia,accusative
12765,Belgīs,singular
12766,dictum est,active
12767,cum,adverb
12768,hōrum,dative
12769,hōrum,dative
12770,absunt,imperative
12771,Gallia,masculine
12772,lēgibus,singular
12773,obtinēre,plural
12774,pertinent,pluperfect
12775,minimē,comparative
12776,Celtae,accusative
12777,aliam,nominative
12778,continenter,semi-deponent
12779,Belgīs,genitive
12780,continenter,superlative
12781,fīnibus,singular
12782,causā,neuter
12783,obtinēre,participle
12784,hī,singular
12785,hī,relative
12786,tertiam,superlative
12787,Germānīs,comparative
12788,trāns,preposition w/ abl.
12789,flūmine,accusative
12790,dīvīsa,gerund
12791,fortissimī,feminine
12792,dē,pronoun
12793,suīs,demonstrative
12794,suīs,demonstrative
12795,omnēs,neuter
12796,sunt,singular
12797,quam,noun
12798,quam,noun
12799,quam,noun
12800,continētur,imperative
12801,ab,preposition w/ acc.
12802,hī,relative
12803,quī,noun
12804,proximī,ablative
12805,incolunt,singular
12806,appellantur,singular
12807,lēgibus,genitive
12808,flūmen,plural
12809,ipsōrum,dative
12810,flūmine,feminine
12811,atque,pronoun
12812,hī,interrogative
12813,tertiam,plural
12814,ipsī,relative
12815,ab,adjective
12816,Gallia,neuter
12817,fīnibus,neuter
12818,fīnibus,neuter
12819,Galliae,plural
12820,suīs,demonstrative
12821,animōs,singular
12822,pertinet,deponent
12823,ūnam,neuter
12824,trēs,dative
12825,Belgārum,accusative
12826,Belgīs,singular
12827,tertiam,plural
12828,ipsōrum,adverb
12829,tertiam,superlative
12830,sunt,perfect
12831,sunt,perfect
12832,Belgārum,accusative
12833,Belgīs,singular
12834,ūna,genitive
12835,tertiam,neuter
12836,lēgibus,nominative
12837,montēs,neuter
12838,Galliae,plural
12839,reliquōs,comparative
12840,-que,adjective
12841,est,future
12842,flūmine,feminine
12843,ūna,ablative
12844,linguā,plural
12845,sē,dative
12846,quibus,noun
12847,eōrum,2nd person
12848,Germānīs,nominative
12849,trēs,neuter
12850,ipsōrum,feminine
12851,eōrum,feminine
12852,gerunt,deponent
12853,ea,masculine
12854,flūminis,accusative
12855,est,2nd person
12856,orientem,superlative
12857,sē,relative
12858,dictum est,subjunctive
12859,in,adverb
12860,longissimē,comparative
12861,partēs,ablative
12862,Galliae,ablative
12863,Galliae,ablative
12864,obtinēre,1st person
12865,flūmine,plural
12866,ea,masculine
12867,bellum,feminine
12868,prōvinciae,ablative
12869,trāns,pronoun
12870,oriuntur,future
12871,hī,indefinite
12872,omnium,singular
12873,dictum est,1st person
12874,dē,pronoun
12875,initium,plural
12876,suīs,nominative
12877,lēgibus,accusative
12878,sunt,2nd person
12879,sunt,2nd person
12880,quī,reflexive
12881,linguā,plural
12882,quod,noun
12883,ā,preposition w/ acc.
12884,pertinent,2nd person
12885,hōrum,feminine
12886,hōrum,feminine
12887,atque,pronoun
12888,partēs,dative
12889,incolunt,2nd person
12890,tertiam,superlative
12891,flūmen,plural
12892,sōlis,neuter
12893,atque,pronoun
12894,capit,imperative
12895,reliquōs,genitive
12896,Galliae,plural
12897,contendunt,deponent
12898,contendunt,deponent
12899,ipsī,adverb
12900,ipsī,adverb
12901,ab,preposition w/ acc.
12902,quārum,noun
12903,flūminis,dative
12904,quod,noun
12905,quī,demonstrative
12906,ab,pronoun
12907,fīnibus,neuter
12908,capit,passive
12909,sōlem,plural
12910,sōlem,plural
12911,quā,genitive
12912,hōrum,singular
12913,fortissimī,feminine
12914,flūmen,feminine
12915,absunt,singular
12916,sōlis,ablative
12917,prohibent,perfect
12918,suīs,singular
12919,spectant,future perfect
12920,ā,noun
12921,occāsum,feminine
12922,ūnam,plural
12923,Belgīs,feminine
12924,partem,plural
12925,hōrum,accusative
12926,sē,genitive
12927,cum,pronoun
12928,est,perfect
12929,inter,pronoun
12930,quī,noun
12931,omnis,superlative
12932,causā,plural
12933,minimē,comparative
12934,minimē,comparative
12935,ipsī,reflexive
12936,oriuntur,subjunctive
12937,linguā,genitive
12938,oriuntur,1st person
12939,omnium,dative
12940,in,conjunction
12941,Germānīs,accusative
12942,omnis,comparative
12943,ipsōrum,singular
12944,appellantur,future
12945,obtinēre,1st person
12946,fortissimī,feminine
12947,sōlem,ablative
12948,occāsum,dative
12949,partēs,ablative
12950,partēs,ablative
12951,partēs,ablative
12952,ab,noun
12953,ipsōrum,feminine
12954,ā,singular
12955,hōrum,reflexive
12956,quī,noun
12957,initium,plural
12958,ab,pronoun
12959,Celtae,feminine
12960,quārum,demonstrative
12961,eam,2nd person
12962,proeliīs,singular
12963,prohibent,subjunctive
12964,lēgibus,masculine
12965,longissimē,positive
12966,aliam,neuter
12967,partēs,singular
12968,dīvīsa,masculine
12969,linguā,genitive
12970,animōs,ablative
12971,-que,pronoun
12972,sōlis,feminine
12973,initium,feminine
12974,hī,ablative
12975,hī,ablative
12976,animōs,singular
12977,contendunt,imperfect
12978,spectant,deponent
12979,spectant,imperfect
12980,eōrum,indefinite
12981,quibus,noun
12982,omnēs,ablative
12983,eōs,nominative
12984,longissimē,positive
12985,causā,genitive
12986,quam,noun
12987,trāns,adverb
12988,Celtae,accusative
12989,sunt,singular
12990,trēs,genitive
12991,flūmen,feminine
12992,flūmen,feminine
12993,proximī,comparative
12994,fortissimī,feminine
12995,hōrum,reflexive
12996,prohibent,deponent
12997,prohibent,deponent
12998,proeliīs,nominative
12999,dictum est,semi-deponent
13000,pars,ablative
13001,est,plural
13002,Gallia,accusative
13003,absunt,imperative
13004,quae,masculine
13005,eōs,genitive
13006,Hispāniam,masculine
13007,Celtae,accusative
13008,quibus,nominative
13009,continenter,deponent
13010,montēs,ablative
13011,Germānīs,accusative
13012,omnis,accusative
13013,reliquōs,superlative
13014,occāsum,dative
13015,aliam,nominative
13016,omnēs,superlative
13017,proximī,feminine
13018,obtinēre,indicative
13019,proximī,comparative
13020,incolunt,passive
13021,partem,plural
13022,partem,plural
13023,partem,plural
13024,partem,plural
13025,partem,plural
13026,partem,plural
13027,partem,plural
13028,partem,plural
13029,partem,plural
13030,ūna,demonstrative
13031,animōs,singular
13032,ea,relative
13033,pertinent,deponent
13034,spectant,passive
13035,absunt,imperfect
13036,hī,dative
13037,occāsum,genitive
13038,flūminis,masculine
13039,tertiam,dative
13040,dīvīsa,masculine
13041,prohibent,singular
13042,proeliīs,nominative
13043,ea,masculine
13044,mercātōrēs,genitive
13045,sōlem,ablative
13046,linguā,dative
13047,in,conjunction
13048,absunt,1st person
13049,capit,semi-deponent
13050,ad,preposition w/ abl.
13051,continenter,passive
13052,oriuntur,semi-deponent
13053,flūmine,feminine
13054,pars,masculine
13055,hī,singular
13056,-que,adjective
13057,Celtae,ablative
13058,quod,plural
13059,fīnibus,genitive
13060,sōlis,neuter
13061,suīs,1st person
13062,oriuntur,not deponent
13063,longissimē,positive
13064,ad,preposition w/ abl.
13065,hōrum,ablative
13066,partēs,neuter
13067,quārum,noun
13068,reliquōs,dative
13069,omnēs,genitive
13070,tertiam,plural
13071,prōvinciae,accusative
13072,quae,noun
13073,occāsum,plural
13074,continenter,perfect
13075,Belgae,accusative
13076,fortissimī,feminine
13077,trāns,adverb
13078,quā,plural
13079,ūnam,masculine
13080,sē,demonstrative
13081,pertinent,subjunctive
13082,flūmen,dative
13083,Germānīs,superlative
13084,Celtae,accusative
13085,Belgae,ablative
13086,continenter,future
13087,Gallia,plural
13088,quā,reflexive
13089,prōvinciae,ablative
13090,sē,dative
13091,Hispāniam,masculine
13092,in,conjunction
13093,trāns,preposition w/ abl.
13094,oriuntur,singular
13095,suīs,demonstrative
13096,Germānīs,nominative
13097,proeliīs,singular
13098,proeliīs,singular
13099,quārum,singular
13100,prohibent,future
13101,Germānīs,accusative
13102,trāns,adverb
13103,quī,demonstrative
13104,appellantur,singular
13105,proeliīs,singular
13106,bellum,feminine
13107,dīvidit,passive
13108,continētur,perfect
13109,continētur,perfect
13110,fīnibus,masculine
13111,cotīdiānīs,nominative
13112,trēs,neuter
13113,in,adverb
13114,partem,masculine
13115,suīs,accusative
13116,-que,pronoun
13117,hōrum,indefinite
13118,prōvinciae,accusative
13119,cum,pronoun
13120,cum,pronoun
13121,dīvīsa,semi-deponent
13122,inter,preposition w/ abl.
13123,oriuntur,subjunctive
13124,contendunt,semi-deponent
13125,Belgae,accusative
13126,sōlem,genitive
13127,Celtae,accusative
13128,trāns,pronoun
13129,pars,masculine
13130,reliquōs,dative
13131,dīvīsa,deponent
13132,trēs,ordinal
13133,bellum,genitive
13134,Gallia,genitive
13135,pertinet,imperfect
13136,prōvinciae,accusative
13137,ipsōrum,accusative
13138,causā,neuter
13139,absunt,singular
13140,obtinēre,gerund
13141,suīs,nominative
13142,Belgae,ablative
13143,atque,pronoun
13144,Galliae,ablative
13145,capit,subjunctive
13146,aliam,demonstrative
13147,eam,neuter
13148,mercātōrēs,singular
13149,in,adverb
13150,flūmen,ablative
13151,Hispāniam,neuter
13152,quod,demonstrative
13153,minimē,positive
13154,minimē,positive
13155,oriuntur,singular
13156,absunt,2nd person
13157,spectat,imperfect
13158,etiam,pronoun
13159,animōs,ablative
13160,ab,conjunction
13161,flūminis,feminine
13162,minimē,comparative
13163,sōlis,ablative
13164,ipsōrum,relative
13165,animōs,nominative
13166,sunt,2nd person
13167,fīnibus,accusative
13168,continenter,infinitive
13169,pertinent,pluperfect
13170,animōs,neuter
13171,animōs,neuter
13172,orientem,plural
13173,pertinent,semi-deponent
13174,quārum,noun
13175,quae,reflexive
13176,flūmine,feminine
13177,orientem,comparative
13178,quā,noun
13179,pars,genitive
13180,sunt,subjunctive
13181,sōlis,plural
13182,prohibent,1st person
13183,dē,adverb
13184,mercātōrēs,dative
13185,appellantur,active
13186,ipsī,adverb
13187,omnium,singular
13188,appellantur,deponent
13189,omnium,ablative
13190,ā,conjunction
13191,fīnibus,masculine
13192,quod,masculine
13193,cum,adverb
13194,ipsōrum,feminine
13195,omnis,plural
13196,occāsum,nominative
13197,omnium,accusative
13198,bellum,plural
13199,eam,1st person
13200,partēs,dative
13201,Celtae,accusative
13202,Germānīs,comparative
13203,incolunt,semi-deponent
13204,incolunt,semi-deponent
13205,suīs,accusative
13206,Celtae,feminine
13207,virtūte,genitive
13208,Germānīs,singular
13209,Germānīs,singular
13210,Germānīs,singular
13211,sē,relative
13212,sē,relative
13213,sunt,singular
13214,sunt,singular
13215,quibus,noun
13216,dīvīsa,comparative
13217,capit,future perfect
13218,quae,noun
13219,proeliīs,nominative
13220,ūnam,plural
13221,Belgae,accusative
13222,quārum,demonstrative
13223,virtūte,plural
13224,spectat,2nd person
13225,suīs,singular
13226,est,imperfect
13227,Germānīs,nominative
13228,dīvidit,semi-deponent
13229,quod,plural
13230,hī,genitive
13231,hī,genitive
13232,Celtae,neuter
13233,dē,conjunction
13234,Germānīs,superlative
13235,sōlis,neuter
13236,trēs,neuter
13237,montēs,dative
13238,absunt,imperative
13239,flūmine,plural
13240,eam,2nd person
13241,Belgae,ablative
13242,eam,masculine
13243,prōvinciae,accusative
13244,minimē,positive
13245,atque,adjective
13246,eōs,genitive
13247,ipsī,accusative
13248,Galliae,nominative
13249,montēs,feminine
13250,virtūte,masculine
13251,partēs,ablative
13252,sunt,subjunctive
13253,proximī,ablative
13254,oriuntur,singular
13255,in,conjunction
13256,ūna,ablative
13257,fīnibus,nominative
13258,cotīdiānīs,superlative
13259,etiam,pronoun
13260,eam,reflexive
13261,cotīdiānīs,superlative
13262,aliam,genitive
13263,aliam,genitive
13264,orientem,superlative
13265,proximī,ablative
13266,prohibent,singular
13267,proximī,feminine
13268,sōlem,genitive
13269,capit,semi-deponent
13270,tertiam,masculine
13271,lēgibus,singular
13272,occāsum,feminine
13273,mercātōrēs,feminine
13274,oriuntur,imperative
13275,Belgīs,feminine
13276,quibus,demonstrative
13277,flūmen,masculine
13278,quam,demonstrative
13279,quam,demonstrative
13280,suīs,singular
13281,proximī,feminine
13282,pertinent,semi-deponent
13283,omnium,nominative
13284,sōlem,plural
13285,gerunt,imperfect
13286,ūnam,masculine
13287,spectant,subjunctive
13288,omnēs,neuter
13289,ipsōrum,feminine
13290,flūmine,masculine
13291,ab,noun
13292,ab,noun
13293,longissimē,comparative
13294,occāsum,feminine
13295,hī,feminine
13296,oriuntur,subjunctive
13297,minimē,adjective
13298,reliquōs,superlative
13299,flūmen,feminine
13300,eōs,feminine
13301,causā,dative
13302,sunt,imperative
13303,sunt,imperative
13304,sunt,imperative
13305,Hispāniam,neuter
13306,spectant,2nd person
13307,omnēs,comparative
13308,montēs,genitive
13309,omnium,accusative
13310,partem,plural
13311,cotīdiānīs,singular
13312,dīvīsa,masculine
13313,quae,masculine
13314,ūna,neuter
13315,continenter,deponent
13316,trēs,dative
13317,oriuntur,pluperfect
13318,sē,demonstrative
13319,flūmine,feminine
13320,spectant,2nd person
13321,orientem,superlative
13322,sunt,singular
13323,cum,adjective
13324,sunt,future
13325,Belgīs,genitive
13326,ūna,demonstrative
13327,partem,plural
13328,partem,plural
13329,est,plural
13330,quibus,reflexive
13331,contendunt,singular
13332,proeliīs,singular
13333,ab,preposition w/ acc.
13334,oriuntur,not deponent
13335,spectant,2nd person
13336,Celtae,ablative
13337,animōs,neuter
13338,eam,1st person
13339,montēs,neuter
13340,trāns,conjunction
13341,quibus,genitive
13342,dīvidit,imperative
13343,dē,conjunction
13344,eam,ablative
13345,-que,pronoun
13346,proximī,feminine
13347,sē,demonstrative
13348,quī,demonstrative
13349,quod,noun
13350,obtinēre,gerund
13351,prohibent,2nd person
13352,ea,dative
13353,hōrum,feminine
13354,pertinet,semi-deponent
13355,animōs,neuter
13356,gerunt,deponent
13357,continenter,deponent
13358,hī,neuter
13359,eōs,1st person
13360,absunt,singular
13361,eam,genitive
13362,ad,preposition w/ abl.
13363,dīvīsa,gerund
13364,omnis,comparative
13365,oriuntur,subjunctive
13366,Celtae,ablative
13367,proeliīs,accusative
13368,ea,1st person
13369,tertiam,masculine
13370,montēs,dative
13371,oriuntur,semi-deponent
13372,dē,conjunction
13373,proeliīs,feminine
13374,ūnam,dative
13375,flūmen,plural
13376,ipsōrum,noun
13377,dē,preposition w/ acc.
13378,montēs,feminine
13379,montēs,ablative
13380,causā,dative
13381,reliquōs,comparative
13382,initium,dative
13383,lēgibus,neuter
13384,animōs,feminine
13385,orientem,future
13386,tertiam,plural
13387,gerunt,2nd person
13388,absunt,singular
13389,orientem,not deponent
13390,pertinet,semi-deponent
13391,Belgīs,accusative
13392,Germānīs,accusative
13393,partem,neuter
13394,flūminis,plural
13395,occāsum,ablative
13396,linguā,plural
13397,obtinēre,plural
13398,ipsōrum,accusative
13399,contendunt,future
13400,lēgibus,genitive
13401,trāns,pronoun
13402,fīnibus,accusative
13403,pertinent,future perfect
13404,Germānīs,comparative
13405,sōlis,accusative
13406,Celtae,accusative
13407,ea,possessive
13408,occāsum,plural
13409,animōs,feminine
13410,ā,preposition w/ acc.
13411,cotīdiānīs,comparative
13412,omnium,accusative
13413,cum,adjective
13414,proximī,ablative
13415,-que,pronoun
13416,ad,pronoun
13417,quā,noun
13418,ea,masculine
13419,omnium,superlative
13420,fortissimī,feminine
13421,ūnam,nominative
13422,flūmine,nominative
13423,quā,demonstrative
13424,quā,demonstrative
13425,spectat,subjunctive
13426,Belgārum,neuter
13427,omnēs,singular
13428,bellum,masculine
13429,partēs,singular
13430,longissimē,positive
13431,omnis,accusative
13432,est,pluperfect
13433,Celtae,neuter
13434,quārum,noun
13435,est,perfect
13436,animōs,genitive
13437,ipsī,relative
13438,montēs,feminine
13439,flūmine,plural
13440,est,2nd person
13441,atque,adjective
13442,prohibent,singular
13443,-que,adjective
13444,atque,adjective
13445,minimē,adjective
13446,partem,dative
13447,linguā,plural
13448,prōvinciae,ablative
13449,occāsum,nominative
13450,partēs,genitive
13451,ūna,comparative
13452,quam,plural
13453,inter,preposition w/ abl.
13454,etiam,pronoun
13455,etiam,pronoun
13456,eōrum,1st person
13457,-que,pronoun
13458,continētur,2nd person
13459,prohibent,singular
13460,trēs,singular
13461,mercātōrēs,neuter
13462,mercātōrēs,neuter
13463,Germānīs,comparative
13464,Germānīs,comparative
13465,etiam,pronoun
13466,omnēs,genitive
13467,sōlem,dative
13468,fortissimī,feminine
13469,est,pluperfect
13470,quae,masculine
13471,fortissimī,accusative
13472,ea,masculine
13473,trēs,ablative
13474,flūmine,plural
13475,sōlis,plural
13476,sē,demonstrative
13477,hī,singular
13478,fīnibus,nominative
13479,virtūte,plural
13480,causā,masculine
13481,flūminis,plural
13482,quam,plural
13483,omnēs,genitive
13484,inter,preposition w/ abl.
13485,spectant,passive
13486,trāns,conjunction
13487,quod,genitive
13488,flūmine,nominative
13489,spectant,perfect
13490,spectant,perfect
13491,spectant,perfect
13492,cum,adjective
13493,pertinet,deponent
13494,pars,ablative
13495,eōrum,1st person
13496,eōrum,1st person
13497,eōrum,1st person
13498,sunt,imperative
13499,dīvīsa,superlative
13500,Galliae,plural
13501,capit,passive
13502,prōvinciae,ablative
13503,fīnibus,neuter
13504,tertiam,superlative
13505,dīvidit,perfect
13506,sōlem,feminine
13507,spectat,plural
13508,suīs,comparative
13509,minimē,positive
13510,dictum est,2nd person
13511,minimē,adjective
13512,continētur,plural
13513,obtinēre,participle
13514,quā,reflexive
13515,flūmen,ablative
13516,bellum,genitive
13517,cum,adjective
